cl_number,sepal_length,sepal_width,petal_length,petal_width,dist
2,0.222222,0.625,0.0677966,0.0416667,0.0479889
2,0.166667,0.416667,0.0677966,0.0416667,0.177918
2,0.111111,0.5,0.0508474,0.0416667,0.128781
2,0.0833333,0.458333,0.0847458,0.0416667,0.175067
2,0.194444,0.666667,0.0677966,0.0416667,0.0787861
2,0.305556,0.791667,0.118644,0.125,0.241116
2,0.0833333,0.583333,0.0677966,0.0833333,0.115919
2,0.194444,0.583333,0.0847458,0.0416667,0.0207935
2,0.0277778,0.375,0.0677966,0.0416667,0.274543
2,0.166667,0.458333,0.0847458,0,0.148528
2,0.305556,0.708333,0.0847458,0.0416667,0.161733
2,0.138889,0.583333,0.101695,0.0416667,0.0647926
2,0.138889,0.416667,0.0677966,0,0.1932
2,0,0.416667,0.0169492,0,0.276043
2,0.416667,0.833333,0.0338983,0.0416667,0.331345
2,0.388889,1,0.0847458,0.125,0.456993
2,0.305556,0.791667,0.0508474,0.125,0.239395
2,0.222222,0.625,0.0677966,0.0833333,0.0501125
2,0.388889,0.75,0.118644,0.0833333,0.254247
2,0.222222,0.75,0.0847458,0.0833333,0.163087
2,0.305556,0.583333,0.118644,0.0416667,0.118197
2,0.222222,0.708333,0.0847458,0.125,0.136932
2,0.0833333,0.666667,0,0.0416667,0.158084
2,0.222222,0.541667,0.118644,0.166667,0.126795
2,0.138889,0.583333,0.152542,0.0416667,0.095539
2,0.194444,0.416667,0.101695,0.0416667,0.176647
2,0.194444,0.583333,0.101695,0.125,0.0693929
2,0.25,0.625,0.0847458,0.0416667,0.0666687
2,0.25,0.583333,0.0677966,0.0416667,0.0584297
2,0.111111,0.5,0.101695,0.0416667,0.12784
2,0.138889,0.458333,0.101695,0.0416667,0.147303
2,0.305556,0.583333,0.0847458,0.125,0.127658
2,0.25,0.875,0.0847458,0,0.295452
2,0.333333,0.916667,0.0677966,0.0416667,0.354191
2,0.166667,0.458333,0.0847458,0,0.148528
2,0.194444,0.5,0.0338983,0.0416667,0.102916
2,0.333333,0.625,0.0508474,0.0416667,0.145279
2,0.166667,0.458333,0.0847458,0,0.148528
2,0.0277778,0.416667,0.0508474,0.0416667,0.244497
2,0.222222,0.583333,0.0847458,0.0416667,0.0333374
2,0.194444,0.625,0.0508474,0.0833333,0.0498722
2,0.0555555,0.125,0.0508474,0.0833333,0.487928
2,0.0277778,0.5,0.0508474,0.0416667,0.194153
2,0.194444,0.625,0.101695,0.208333,0.153962
2,0.222222,0.75,0.152542,0.125,0.188949
2,0.138889,0.416667,0.0677966,0.0833333,0.185123
2,0.222222,0.75,0.101695,0.0416667,0.163961
2,0.0833333,0.5,0.0677966,0.0416667,0.146367
2,0.277778,0.708333,0.0847458,0.0416667,0.144392
2,0.194444,0.541667,0.0677966,0.0416667,0.0536089
1,0.75,0.5,0.627119,0.541667,0.291037
1,0.583333,0.5,0.59322,0.583333,0.277
1,0.722222,0.458333,0.661017,0.583333,0.227893
3,0.333333,0.125,0.508475,0.5,0.179596
3,0.611111,0.333333,0.610169,0.583333,0.22213
3,0.388889,0.333333,0.59322,0.5,0.0729839
1,0.555556,0.541667,0.627119,0.625,0.252738
3,0.166667,0.166667,0.38983,0.375,0.349622
3,0.638889,0.375,0.610169,0.5,0.253257
3,0.25,0.291667,0.491525,0.541667,0.17736
3,0.194444,0,0.423729,0.375,0.404454
3,0.444444,0.416667,0.542373,0.583333,0.157366
3,0.472222,0.0833334,0.508475,0.375,0.254777
3,0.5,0.375,0.627119,0.541667,0.149792
3,0.361111,0.375,0.440678,0.5,0.163224
1,0.666667,0.458333,0.576271,0.541667,0.301235
3,0.361111,0.416667,0.59322,0.583333,0.164939
3,0.416667,0.291667,0.525424,0.375,0.150439
3,0.527778,0.0833334,0.59322,0.583333,0.236531
3,0.361111,0.208333,0.491525,0.416667,0.15065
1,0.444444,0.5,0.644068,0.708333,0.267062
3,0.5,0.333333,0.508475,0.5,0.117919
3,0.555556,0.208333,0.661017,0.583333,0.199049
3,0.5,0.333333,0.627119,0.458333,0.139541
3,0.583333,0.375,0.559322,0.5,0.19849
3,0.638889,0.416667,0.576271,0.541667,0.267819
1,0.694444,0.333333,0.644068,0.541667,0.288689
1,0.666667,0.416667,0.677966,0.666667,0.142434
3,0.472222,0.375,0.59322,0.583333,0.135364
3,0.388889,0.25,0.423729,0.375,0.202033
3,0.333333,0.166667,0.474576,0.416667,0.19058
3,0.333333,0.166667,0.457627,0.375,0.22335
3,0.416667,0.291667,0.491525,0.458333,0.093242
3,0.472222,0.291667,0.694915,0.625,0.182132
3,0.305556,0.416667,0.59322,0.583333,0.189604
1,0.472222,0.583333,0.59322,0.625,0.330807
1,0.666667,0.458333,0.627119,0.583333,0.237982
3,0.555556,0.125,0.576271,0.5,0.210731
3,0.361111,0.416667,0.525424,0.5,0.153899
3,0.333333,0.208333,0.508475,0.5,0.117816
3,0.333333,0.25,0.576271,0.458333,0.105471
3,0.5,0.416667,0.610169,0.541667,0.174141
3,0.416667,0.25,0.508475,0.458333,0.0848616
3,0.194444,0.125,0.38983,0.375,0.34684
3,0.361111,0.291667,0.542373,0.5,0.0593353
3,0.388889,0.416667,0.542373,0.458333,0.155723
3,0.388889,0.375,0.542373,0.5,0.104245
3,0.527778,0.375,0.559322,0.5,0.15314
3,0.222222,0.208333,0.338983,0.416667,0.316191
3,0.388889,0.333333,0.525424,0.5,0.0726551
1,0.555556,0.541667,0.847458,1,0.279197
3,0.416667,0.291667,0.694915,0.75,0.266904
1,0.777778,0.416667,0.830508,0.833333,0.14428
1,0.555556,0.375,0.779661,0.708333,0.152195
1,0.611111,0.416667,0.813559,0.875,0.125398
1,0.916667,0.416667,0.949153,0.833333,0.319614
3,0.166667,0.208333,0.59322,0.666667,0.29555
1,0.833333,0.375,0.898305,0.708333,0.239614
1,0.666667,0.208333,0.813559,0.708333,0.252457
1,0.805555,0.666667,0.864407,1,0.357734
1,0.611111,0.5,0.694915,0.791667,0.102035
1,0.583333,0.291667,0.728814,0.75,0.178577
1,0.694444,0.416667,0.762712,0.833333,0.0638211
3,0.388889,0.208333,0.677966,0.791667,0.304548
1,0.416667,0.333333,0.694915,0.958333,0.331718
1,0.583333,0.5,0.728814,0.916667,0.171131
1,0.611111,0.416667,0.762712,0.708333,0.0968014
1,0.944444,0.75,0.966102,0.875,0.472273
1,0.944444,0.25,1,0.916667,0.436974
3,0.472222,0.0833334,0.677966,0.583333,0.24323
1,0.722222,0.5,0.79661,0.916667,0.160879
3,0.361111,0.333333,0.661017,0.791667,0.299235
1,0.944444,0.333333,0.966102,0.791667,0.363818
1,0.555556,0.291667,0.661017,0.708333,0.224051
1,0.666667,0.541667,0.79661,0.833333,0.117899
1,0.805555,0.5,0.847458,0.708333,0.189254
1,0.527778,0.333333,0.644068,0.708333,0.223306
1,0.5,0.416667,0.661017,0.708333,0.2086
1,0.583333,0.333333,0.779661,0.833333,0.149365
1,0.805555,0.416667,0.813559,0.625,0.218033
1,0.861111,0.333333,0.864407,0.75,0.248941
1,1,0.75,0.915254,0.791667,0.479234
1,0.583333,0.333333,0.779661,0.875,0.168284
3,0.555556,0.333333,0.694915,0.583333,0.214869
3,0.5,0.25,0.779661,0.541667,0.240001
1,0.944444,0.416667,0.864407,0.916667,0.326937
1,0.555556,0.583333,0.779661,0.958333,0.252643
1,0.583333,0.458333,0.762712,0.708333,0.113228
1,0.472222,0.416667,0.644068,0.708333,0.239063
1,0.722222,0.458333,0.745763,0.833333,0.0772051
1,0.666667,0.458333,0.779661,0.958333,0.178365
1,0.722222,0.458333,0.694915,0.916667,0.158738
3,0.416667,0.291667,0.694915,0.75,0.266904
1,0.694444,0.5,0.830508,0.916667,0.16568
1,0.666667,0.541667,0.79661,1,0.242429
1,0.666667,0.416667,0.711864,0.916667,0.144479
