cl_number,sepal_length,sepal_width,petal_length,petal_width,dist
5,0.222222,0.625,0.0677966,0.0416667,0.0479889
5,0.166667,0.416667,0.0677966,0.0416667,0.177918
5,0.111111,0.5,0.0508474,0.0416667,0.128781
5,0.0833333,0.458333,0.0847458,0.0416667,0.175067
5,0.194444,0.666667,0.0677966,0.0416667,0.0787861
5,0.305556,0.791667,0.118644,0.125,0.241116
5,0.0833333,0.583333,0.0677966,0.0833333,0.115919
5,0.194444,0.583333,0.0847458,0.0416667,0.0207935
5,0.0277778,0.375,0.0677966,0.0416667,0.274543
5,0.166667,0.458333,0.0847458,0,0.148528
5,0.305556,0.708333,0.0847458,0.0416667,0.161733
5,0.138889,0.583333,0.101695,0.0416667,0.0647926
5,0.138889,0.416667,0.0677966,0,0.1932
5,0,0.416667,0.0169492,0,0.276043
5,0.416667,0.833333,0.0338983,0.0416667,0.331345
5,0.388889,1,0.0847458,0.125,0.456993
5,0.305556,0.791667,0.0508474,0.125,0.239395
5,0.222222,0.625,0.0677966,0.0833333,0.0501125
5,0.388889,0.75,0.118644,0.0833333,0.254247
5,0.222222,0.75,0.0847458,0.0833333,0.163087
5,0.305556,0.583333,0.118644,0.0416667,0.118197
5,0.222222,0.708333,0.0847458,0.125,0.136932
5,0.0833333,0.666667,0,0.0416667,0.158084
5,0.222222,0.541667,0.118644,0.166667,0.126795
5,0.138889,0.583333,0.152542,0.0416667,0.095539
5,0.194444,0.416667,0.101695,0.0416667,0.176647
5,0.194444,0.583333,0.101695,0.125,0.0693929
5,0.25,0.625,0.0847458,0.0416667,0.0666687
5,0.25,0.583333,0.0677966,0.0416667,0.0584297
5,0.111111,0.5,0.101695,0.0416667,0.12784
5,0.138889,0.458333,0.101695,0.0416667,0.147303
5,0.305556,0.583333,0.0847458,0.125,0.127658
5,0.25,0.875,0.0847458,0,0.295452
5,0.333333,0.916667,0.0677966,0.0416667,0.354191
5,0.166667,0.458333,0.0847458,0,0.148528
5,0.194444,0.5,0.0338983,0.0416667,0.102916
5,0.333333,0.625,0.0508474,0.0416667,0.145279
5,0.166667,0.458333,0.0847458,0,0.148528
5,0.0277778,0.416667,0.0508474,0.0416667,0.244497
5,0.222222,0.583333,0.0847458,0.0416667,0.0333374
5,0.194444,0.625,0.0508474,0.0833333,0.0498722
5,0.0555555,0.125,0.0508474,0.0833333,0.487928
5,0.0277778,0.5,0.0508474,0.0416667,0.194153
5,0.194444,0.625,0.101695,0.208333,0.153962
5,0.222222,0.75,0.152542,0.125,0.188949
5,0.138889,0.416667,0.0677966,0.0833333,0.185123
5,0.222222,0.75,0.101695,0.0416667,0.163961
5,0.0833333,0.5,0.0677966,0.0416667,0.146367
5,0.277778,0.708333,0.0847458,0.0416667,0.144392
5,0.194444,0.541667,0.0677966,0.0416667,0.0536089
3,0.75,0.5,0.627119,0.541667,0.236725
3,0.583333,0.5,0.59322,0.583333,0.104626
3,0.722222,0.458333,0.661017,0.583333,0.207089
2,0.333333,0.125,0.508475,0.5,0.101427
3,0.611111,0.333333,0.610169,0.583333,0.116937
3,0.388889,0.333333,0.59322,0.5,0.173013
3,0.555556,0.541667,0.627119,0.625,0.150372
2,0.166667,0.166667,0.38983,0.375,0.210804
3,0.638889,0.375,0.610169,0.5,0.126991
2,0.25,0.291667,0.491525,0.541667,0.148101
2,0.194444,0,0.423729,0.375,0.270131
3,0.444444,0.416667,0.542373,0.583333,0.108016
2,0.472222,0.0833334,0.508475,0.375,0.204077
3,0.5,0.375,0.627119,0.541667,0.0588173
2,0.361111,0.375,0.440678,0.5,0.179786
3,0.666667,0.458333,0.576271,0.541667,0.144586
3,0.361111,0.416667,0.59322,0.583333,0.173093
2,0.416667,0.291667,0.525424,0.375,0.144483
6,0.527778,0.0833334,0.59322,0.583333,0.273125
2,0.361111,0.208333,0.491525,0.416667,0.0442148
3,0.444444,0.5,0.644068,0.708333,0.201421
3,0.5,0.333333,0.508475,0.5,0.136898
6,0.555556,0.208333,0.661017,0.583333,0.168758
3,0.5,0.333333,0.627119,0.458333,0.132651
3,0.583333,0.375,0.559322,0.5,0.0937331
3,0.638889,0.416667,0.576271,0.541667,0.11044
3,0.694444,0.333333,0.644068,0.541667,0.187387
3,0.666667,0.416667,0.677966,0.666667,0.191992
3,0.472222,0.375,0.59322,0.583333,0.0766556
2,0.388889,0.25,0.423729,0.375,0.118779
2,0.333333,0.166667,0.474576,0.416667,0.0561533
2,0.333333,0.166667,0.457627,0.375,0.0913406
2,0.416667,0.291667,0.491525,0.458333,0.116905
6,0.472222,0.291667,0.694915,0.625,0.0944475
3,0.305556,0.416667,0.59322,0.583333,0.228051
3,0.472222,0.583333,0.59322,0.625,0.193003
3,0.666667,0.458333,0.627119,0.583333,0.147551
2,0.555556,0.125,0.576271,0.5,0.259693
3,0.361111,0.416667,0.525424,0.5,0.193934
2,0.333333,0.208333,0.508475,0.5,0.054884
2,0.333333,0.25,0.576271,0.458333,0.0997778
3,0.5,0.416667,0.610169,0.541667,0.0362596
2,0.416667,0.25,0.508475,0.458333,0.095551
2,0.194444,0.125,0.38983,0.375,0.203283
2,0.361111,0.291667,0.542373,0.5,0.114602
3,0.388889,0.416667,0.542373,0.458333,0.181688
3,0.388889,0.375,0.542373,0.5,0.167852
3,0.527778,0.375,0.559322,0.5,0.0783606
2,0.222222,0.208333,0.338983,0.416667,0.186623
2,0.388889,0.333333,0.525424,0.5,0.14936
4,0.555556,0.541667,0.847458,1,0.167271
6,0.416667,0.291667,0.694915,0.75,0.098892
1,0.777778,0.416667,0.830508,0.833333,0.136359
6,0.555556,0.375,0.779661,0.708333,0.120004
4,0.611111,0.416667,0.813559,0.875,0.0872317
1,0.916667,0.416667,0.949153,0.833333,0.0832934
2,0.166667,0.208333,0.59322,0.666667,0.293685
1,0.833333,0.375,0.898305,0.708333,0.148333
6,0.666667,0.208333,0.813559,0.708333,0.213839
1,0.805555,0.666667,0.864407,1,0.285152
4,0.611111,0.5,0.694915,0.791667,0.131432
6,0.583333,0.291667,0.728814,0.75,0.0890696
4,0.694444,0.416667,0.762712,0.833333,0.105912
6,0.388889,0.208333,0.677966,0.791667,0.170024
6,0.416667,0.333333,0.694915,0.958333,0.265005
4,0.583333,0.5,0.728814,0.916667,0.0722231
6,0.611111,0.416667,0.762712,0.708333,0.169337
1,0.944444,0.75,0.966102,0.875,0.302507
1,0.944444,0.25,1,0.916667,0.270093
6,0.472222,0.0833334,0.677966,0.583333,0.253395
4,0.722222,0.5,0.79661,0.916667,0.0931056
6,0.361111,0.333333,0.661017,0.791667,0.175333
1,0.944444,0.333333,0.966102,0.791667,0.165149
6,0.555556,0.291667,0.661017,0.708333,0.0633715
4,0.666667,0.541667,0.79661,0.833333,0.0976851
1,0.805555,0.5,0.847458,0.708333,0.142295
6,0.527778,0.333333,0.644068,0.708333,0.0711058
6,0.5,0.416667,0.661017,0.708333,0.126396
6,0.583333,0.333333,0.779661,0.833333,0.166677
1,0.805555,0.416667,0.813559,0.625,0.225579
1,0.861111,0.333333,0.864407,0.75,0.15436
1,1,0.75,0.915254,0.791667,0.306203
4,0.583333,0.333333,0.779661,0.875,0.159355
3,0.555556,0.333333,0.694915,0.583333,0.130272
6,0.5,0.25,0.779661,0.541667,0.193413
1,0.944444,0.416667,0.864407,0.916667,0.13645
4,0.555556,0.583333,0.779661,0.958333,0.146597
6,0.583333,0.458333,0.762712,0.708333,0.18808
6,0.472222,0.416667,0.644068,0.708333,0.137258
4,0.722222,0.458333,0.745763,0.833333,0.109039
4,0.666667,0.458333,0.779661,0.958333,0.0721637
4,0.722222,0.458333,0.694915,0.916667,0.113254
6,0.416667,0.291667,0.694915,0.75,0.098892
4,0.694444,0.5,0.830508,0.916667,0.0897504
4,0.666667,0.541667,0.79661,1,0.1268
4,0.666667,0.416667,0.711864,0.916667,0.0900866
6,0.555556,0.208333,0.677966,0.75,0.110594
4,0.611111,0.416667,0.711864,0.791667,0.137254
4,0.527778,0.583333,0.745763,0.916667,0.154028
6,0.444444,0.416667,0.694915,0.708333,0.135221
